[0.001] [INFO ] [Game] (Game.cpp:37 in initialize) Logger online
[0.260] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.260] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.260] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.261] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.261] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.262] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.262] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.262] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.262] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.262] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.262] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.262] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.262] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.263] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.263] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.263] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.265] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.265] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.265] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.265] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.265] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.265] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
